index,x_m,y_m,yaw,direction,drive_level
169,-3.322861,-26.989577,-1.080649551,1,1.0
170,-3.211341,-27.198581,-1.071915994,1,1.0
171,-3.089485,-27.422233,-1.085165900,1,1.0
172,-2.980338,-27.629032,-1.080646244,1,1.0
173,-2.868813,-27.838045,-1.002234913,1,1.0
174,-2.741652,-28.037065,-1.085801860,1,1.0
175,-2.638067,-28.233630,-1.080649220,1,1.0
176,-2.526546,-28.442634,-1.158060259,1,1.0
177,-2.430650,-28.661631,-1.085851194,1,1.0
178,-2.327075,-28.858202,-1.080646575,1,1.0
179,-2.215550,-29.067214,-1.168265999,1,1.0
180,-2.127603,-29.273770,-1.179888058,1,1.0
181,-2.047605,-29.467885,-1.265336717,1,1.0
182,-1.983244,-29.671992,-1.265325780,1,1.0
183,-1.918878,-29.876106,-1.179939626,1,1.0
184,-1.838889,-30.070228,-1.179888058,1,1.0
185,-1.758891,-30.264343,-1.265326995,1,1.0
186,-1.694526,-30.468456,-1.371291778,1,1.0
187,-1.653752,-30.670113,-1.424150439,1,1.0
188,-1.620653,-30.894205,-1.452539013,1,1.0
189,-1.595507,-31.105847,-1.399008281,1,1.0
190,-1.562677,-31.295071,-1.490157624,1,1.0
191,-1.545525,-31.507311,-1.528277431,1,1.0
192,-1.536149,-31.727705,-1.637657901,1,1.0
193,-1.550037,-31.935113,-1.699681374,1,1.0
194,-1.579739,-32.164290,-1.676916517,1,1.0
195,-1.601762,-32.371041,-1.597231356,1,1.0
196,-1.607887,-32.602674,-1.634873358,1,1.0
197,-1.621951,-32.821860,-1.742836810,1,1.0
198,-1.659612,-33.038602,-1.742772301,1,1.0
199,-1.697258,-33.255346,-1.742799904,1,1.0
200,-1.734910,-33.472082,-1.699715078,1,1.0
201,-1.764620,-33.701266,-1.642968994,1,1.0
202,-1.782461,-33.948035,-1.698740101,1,1.0
203,-1.808396,-34.149635,-1.817030051,1,1.0
204,-1.867787,-34.385937,-1.937873026,1,1.0
205,-1.954184,-34.610634,-1.900987380,1,1.0
206,-2.023367,-34.812486,-1.801638665,1,1.0
207,-2.076655,-35.039214,-1.930088513,1,1.0
208,-2.160153,-35.261523,-2.032776684,1,1.0
209,-2.254230,-35.450463,-2.138540514,1,1.0
210,-2.386214,-35.657403,-2.194427475,1,1.0
211,-2.526142,-35.851908,-2.138507253,1,1.0
212,-2.658121,-36.058855,-2.116026861,1,1.0
213,-2.784924,-36.267907,-2.216966789,1,1.0
214,-2.930028,-36.460307,-2.252948427,1,1.0
215,-3.077906,-36.642372,-2.276095222,1,1.0
216,-3.241420,-36.834428,-2.313790787,1,1.0
217,-3.397242,-37.004059,-2.252948427,1,1.0
218,-3.545120,-37.186123,-2.276064894,1,1.0
219,-3.708630,-37.378186,-2.376694011,1,1.0
220,-3.872401,-37.535376,-2.391452479,1,1.0
221,-4.051800,-37.702551,-2.396502015,1,1.0
222,-4.218537,-37.856360,-2.356921108,1,1.0
223,-4.379341,-38.016932,-2.332984044,1,1.0
224,-4.550806,-38.196546,-2.410450251,1,1.0
225,-4.714381,-38.343269,-2.470615482,1,1.0
226,-4.894241,-38.486051,-2.573031240,1,1.0
227,-5.097492,-38.615916,-2.639243152,1,1.0
228,-5.293054,-38.723349,-2.573031240,1,1.0
229,-5.480668,-38.843223,-2.624957061,1,1.0
230,-5.682449,-38.957856,-2.648185994,1,1.0
231,-5.887417,-39.068082,-2.754605912,1,1.0
232,-6.114510,-39.160631,-2.754601902,1,1.0
233,-6.341604,-39.253181,-2.704848655,1,1.0
234,-6.545111,-39.348180,-2.694853336,1,1.0
235,-6.764251,-39.453157,-2.704844241,1,1.0
236,-6.967758,-39.548156,-2.813117552,1,1.0
237,-7.202801,-39.628264,-2.813078436,1,1.0
238,-7.437839,-39.708381,-2.813124175,1,1.0
239,-7.672872,-39.788483,-2.769368470,1,1.0
240,-7.884328,-39.871041,-2.754605912,1,1.0
241,-8.111422,-39.963590,-2.869963467,1,1.0
242,-8.354409,-40.031265,-2.893150475,1,1.0
