x,y,yaw,dir
4.9522,-3.3004,1.5788,1
4.9510,-3.1520,1.5788,1
4.9502,-3.0476,1.5788,1
4.9490,-2.8976,1.5788,1
4.9478,-2.7477,1.5788,1
4.9466,-2.5977,1.5788,1
4.9454,-2.4477,1.5788,1
4.9442,-2.2977,1.5788,1
4.9430,-2.1477,1.5788,1
4.9418,-1.9977,1.5788,1
4.9406,-1.8477,1.5788,1
4.9394,-1.6977,1.5788,1
4.9382,-1.5477,1.5788,1
4.9370,-1.3977,1.5788,1
4.9358,-1.2477,1.5788,1
4.9346,-1.0977,1.5788,1
4.9334,-0.9477,1.5788,1
4.9295,-0.7978,1.5788,1
4.9283,-0.6478,1.5788,1
4.9271,-0.4978,1.5788,1
4.9259,-0.3479,1.5788,1
4.9247,-0.1979,1.5788,1
4.9235,-0.0479,1.5788,1
4.9223,0.1021,1.5788,1
4.9211,0.2521,1.5788,1
4.9199,0.4021,1.5788,1
4.9187,0.5521,1.5788,1
4.9175,0.7021,1.5788,1
4.9163,0.8521,1.5788,1
4.9151,1.0021,1.5788,1
4.9139,1.1521,1.5788,1
4.9127,1.3021,1.5788,1
4.9115,1.4521,1.5788,1
4.9103,1.6021,1.5788,1
4.9091,1.7521,1.5788,1
4.9079,1.9021,1.5788,1
4.9067,2.0521,1.5788,1
4.9055,2.2021,1.5788,1
4.9043,2.3521,1.5788,1
4.9031,2.5021,1.5788,1
4.9019,2.6521,1.5788,1
4.9007,2.8020,1.5788,1
4.8995,2.9520,1.5788,1
4.8983,3.0920,1.5788,1
4.8975,3.2020,1.5788,1
4.8963,3.3409,1.5788,1
4.8955,3.4420,1.5788,1
4.8943,3.5920,1.5788,1
4.8931,3.7420,1.5788,1
4.8919,3.8910,1.5788,1
4.8907,4.0220,1.5788,1
4.8899,4.1320,1.5788,1
4.8887,4.2818,1.5788,1
4.8879,4.3820,1.5788,1
4.8871,4.4912,1.5788,1
4.8863,4.5920,1.5788,1
4.8851,4.7320,1.5788,1
4.8839,4.8820,1.5788,1
4.8827,5.0320,1.5788,1
4.8815,5.1720,1.5788,1
4.8807,5.2751,1.5788,1
4.8795,5.4220,1.5788,1
