segment_id,segment_type,point_index,latitude,longitude,x_m,y_m,direction,mode,drive_level,event,from_node,to_node
T_foword,mission_T_forward,75,37.2881317985,127.1068431028,-38.598332,-53.965650,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,76,37.2881301424,127.1068422299,-38.675634,-54.150015,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,77,37.2881284484,127.1068414810,-38.741962,-54.338585,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,78,37.2881267344,127.1068408055,-38.801787,-54.529394,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,79,37.2881250389,127.1068400627,-38.867577,-54.718137,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,80,37.2881233591,127.1068392671,-38.938041,-54.905129,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,81,37.2881217098,127.1068383718,-39.017327,-55.088725,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,82,37.2881200256,127.1068375912,-39.086462,-55.276217,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,83,37.2881183133,127.1068369190,-39.146002,-55.466831,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,84,37.2881165911,127.1068362905,-39.201662,-55.658547,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,85,37.2881148687,127.1068356525,-39.258165,-55.850274,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,86,37.2881131589,127.1068349613,-39.319383,-56.040619,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,87,37.2881114789,127.1068341649,-39.389917,-56.227637,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,88,37.2881098212,127.1068332945,-39.467008,-56.412166,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,89,37.2881081335,127.1068325224,-39.535384,-56.600045,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,90,37.2881064510,127.1068317338,-39.605228,-56.787333,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,91,37.2881047702,127.1068309367,-39.675823,-56.974439,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,92,37.2881032893,127.1068300996,-39.749960,-57.139301,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,93,37.2881024658,127.1068295915,-39.794960,-57.230968,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,94,37.2881015975,127.1068290834,-39.839960,-57.327635,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,95,37.2881007890,127.1068286130,-39.881627,-57.417635,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,0,37.2880999805,127.1068285565,-39.886627,-57.507635,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,1,37.2880991421,127.1068282366,-39.914960,-57.600968,1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,2,37.2880984234,127.1068279167,-39.943294,-57.680968,1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,3,37.2880967915,127.1068270887,-40.016627,-57.862635,1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,4,37.2880953392,127.1068261478,-40.099960,-58.024301,1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,5,37.2880965669,127.1068269381,-40.029960,-57.887635,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,6,37.2880971358,127.1068272957,-39.998294,-57.824301,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,7,37.2880977497,127.1068276720,-39.964960,-57.755968,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,8,37.2880986929,127.1068282554,-39.913294,-57.650968,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,9,37.2881002469,127.1068291573,-39.833415,-57.477981,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,10,37.2881018533,127.1068301869,-39.742229,-57.299157,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,11,37.2881034136,127.1068309906,-39.671049,-57.125464,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,12,37.2881052469,127.1068316573,-39.612003,-56.921381,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,13,37.2881065803,127.1068323239,-39.552965,-56.772947,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,14,37.2881081367,127.1068330016,-39.492944,-56.599680,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,15,37.2881095562,127.1068336591,-39.434713,-56.441670,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,16,37.2881114426,127.1068344119,-39.368041,-56.231676,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,17,37.2881128051,127.1068350141,-39.314707,-56.080003,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,18,37.2881144071,127.1068356351,-39.259708,-55.901668,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,19,37.2881161288,127.1068364255,-39.189707,-55.710008,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,20,37.2881179242,127.1068372633,-39.115507,-55.510144,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,21,37.2881197820,127.1068380439,-39.046373,-55.303334,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_A,mission_T,22,37.2881215803,127.1068386573,-38.992047,-55.103147,-1,7,1,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
